feature,importance
district_encoded,0.5272857496365402
area,0.23020892256879663
total_floors,0.050362941537803886
age,0.036622609817615136
year_built,0.03397580596311814
area_per_room,0.029246976571996094
decoration_encoded,0.02444556134342513
floor_ratio,0.01727685206989438
floor,0.01586840588868813
building_type_encoded,0.010318527047359095
elevator_encoded,0.0072800584096763135
rooms_halls_ratio,0.005974401677976365
rooms,0.005278656687410368
halls,0.003060680569571851
orientation_encoded,0.0027938502101282382
